label,"GDP Per Capita"
2019,40246.8801284164
2018,39159.4235633952
2017,38386.5111457057
2016,38761.8181501925
2015,34524.4698609337
2014,38109.4121125573
2013,40454.4474578903
2012,48603.4766497749
2011,48167.9972684965
2010,44507.6763859172
2009,40855.1756354596
2008,39339.2975731826
2007,35275.2284312667
2006,35433.988963743
2005,37217.648727917
2004,37688.7223359406
2003,34808.3909176613
2002,32289.3505360726
2001,33846.4656414342
2000,38532.0408752935
1999,36026.5560750168
1998,31902.7670955137
1997,35021.7190917159
1996,38436.9263119118
1995,43440.3678678967
1994,39268.5668686204
1993,35765.9140886748
1992,31464.549046228
1991,28925.0415756881
1990,25359.34702031
1989,24813.2993783357
1988,25051.8543154389
1987,20745.2520919399
1986,17111.8537325384
1985,11584.6493269017
1984,10984.8658284904
1983,10425.4068209429
1982,9578.11380327871
1981,10361.3230580189
1980,9465.3797140302
1979,9105.13609671468
1978,8821.84349178264
1977,6335.78762668131
1976,5197.80669675423
1975,4659.12011500135
1974,4353.82435516245
1973,3997.84112039081
1972,2967.0419962342
1971,2272.07780221047
1970,2037.55990147534
1969,1669.09819990781
1968,1450.61965234374
1967,1228.9092104006
1966,1058.50356090902
1965,919.776688184802
1964,835.657252484116
1963,717.866915230894
1962,633.640315173776
1961,563.586759838827
1960,478.995340162869
