label,"GDP Per Capita"
2019,10261.6792453621
2018,9976.67713725865
2017,8879.43866711346
2016,8147.93770548839
2015,8066.94263493557
2014,7678.59948587483
2013,7050.64627124287
2012,6316.91831760216
2011,5618.13226711952
2010,4550.4531077571
2009,3832.23643246702
2008,3468.30460207434
2007,2693.97006340526
2006,2099.22943460447
2005,1753.41782925823
2004,1508.66809788266
2003,1288.64325183381
2002,1148.5082904417
2001,1053.10824300452
2000,959.372483639691
1999,873.28706172579
1998,828.580479295681
1997,781.744164341053
1996,709.413755085039
1995,609.656679202484
1994,473.492278718042
1993,377.389839479958
1992,366.460692302073
1991,333.142145400184
1990,317.884673040928
1989,310.8819124049
1988,283.537695240524
1987,251.811956961329
1986,281.928120911563
1985,294.45884850496
1984,250.713969046988
1983,225.431928890812
1982,203.334919503464
1981,197.071474499102
1980,194.804722186836
1979,183.983152215978
1978,156.396388520044
1977,185.422832913673
1976,165.40554037242
1975,178.341819608096
1974,160.140093727686
1973,157.090374298657
1972,131.883561243868
1971,118.654577785346
1970,113.162991554686
1969,100.12990326618
1968,91.4727183066072
1967,96.5895319417819
1966,104.324566181147
1965,98.4867777522206
1964,85.4985551596313
1963,74.3136434486145
1962,70.9094116671007
1961,75.8058379259965
1960,89.5205415103584
