label,"GDP Per Capita"
2019,65233.2824392302
2018,66188.7793961798
2017,60913.745333494
2016,56828.2953471601
2015,55646.6187469505
2014,57562.5307937678
2013,56967.4257940383
2012,55546.4885386921
2011,53890.4287270504
2010,47236.9602345421
2009,38927.2068817715
2008,40007.469261214
2007,39432.9383493761
2006,33769.1541633501
2005,29961.2632774569
2004,27608.5373712744
2003,23730.1524496489
2002,22159.6888632741
2001,21700.0200458315
2000,23852.3270285975
1999,21796.0844360572
1998,21829.2998697666
1997,26375.9719503189
1996,26233.6288964795
1995,24914.411255678
1994,21553.0308996263
1993,18290.0282372282
1992,16135.9136525986
1991,14502.3799938606
1990,11861.7561591366
1989,10394.5389962406
1988,8914.44122574729
1987,7539.02930212443
1986,6799.93036332671
1985,7001.7667477117
1984,7228.31758410647
1983,6633.23667366491
1982,6077.63424070932
1981,5596.58597723068
1980,4928.13911785754
1979,3900.53355310873
1978,3193.90565722355
1977,2846.33598832854
1976,2758.94038028476
1975,2489.91157517591
1974,2341.70551423633
1973,1685.45979632163
1972,1264.37510720987
1971,1071.41154035538
1970,925.80391294265
1969,812.682796852012
1968,708.606066462846
1967,626.033527685697
1966,566.807677554886
1965,516.53530333901
1964,485.533858206574
1963,511.205575252773
1962,472.085824452565
1961,449.151071278746
1960,428.058980027396
